Cidades Brasileiras,,,,,,,,
Fonte: https://www.kaggle.com/crisparada/brazilian-cities/downloads/brazilian-cities.zip/6,,,,,,,,
,,,,,,,,
Município,Estado,IBGE_1-4,IDHM,IDHM_Renda,IDHM_Educacao,GDP_CAPITA,COMP_P,Valor Vazio
Bebedouro,SP,3378,0.78,0.756,0.735,41444.67,50,0
Olinda,PE,14740,0.735,0.704,0.675,13515.27,287,0
Rio Grande,RS,9416,0.74,0.752,0.637,36816.67,168,0
Mogi Mirim,SP,3796,0.784,0.767,0.715,46512.31,85,0
São Roque,SP,2765,0.768,0.765,0.687,28920.64,108,0
Paranaguá,PR,8150,0.75,0.733,0.676,54723.35,133,0
Nilópolis,RJ,7410,0.753,0.731,0.716,16045.55,110,0
Joaçaba,SC,672,0.83,0.823,0.771,50765.38,40,0
Arujá,SP,4073,0.784,0.761,0.73,55521.78,84,0
Santa Cruz Do Sul,RS,4718,0.773,0.782,0.693,63536.14,197,0
Lins,SP,3226,0.79,0.762,0.733,55070.04,59,0
Lages,SC,8379,0.77,0.755,0.697,29930.95,129,0
Magé,RJ,12138,0.71,0.685,0.626,15607.47,185,0
Várzea Grande,MT,16639,0.73,0.711,0.661,26937.68,162,0
Leme,SP,5012,0.74,0.729,0.665,29326.69,53,0
Ubá,MG,5059,0.72,0.727,0.62,22023.63,97,0
Itapecerica Da Serra,SP,8325,0.742,0.699,0.687,22786.72,131,0
Cornélio Procópio,PR,2095,0.759,0.746,0.692,28964.09,76,0
Caraguatatuba,SP,5584,0.759,0.735,0.705,23100.59,126,0
Itumbiara,GO,4537,0.752,0.744,0.682,40477.15,68,0
Farroupilha,RS,2420,0.777,0.783,0.696,44752.07,67,0
Avaré,SP,4098,0.767,0.751,0.695,28025.47,103,0
Paraguaçu Paulista,SP,2043,0.762,0.717,0.739,26291.19,53,0
Tubarão,SC,3923,0.8,0.788,0.74,32903.9,89,0
Apucarana,PR,5693,0.748,0.741,0.668,22541.31,135,0
Jaguariúna,SP,1931,0.784,0.782,0.715,158703.96,77,0
Itaboraí,RJ,11134,0.693,0.69,0.593,18864.13,127,0
Paranavaí,PR,3966,0.763,0.75,0.703,25539.56,91,0
Tatuí,SP,5303,0.752,0.734,0.688,31158.75,114,0
Ourinhos,SP,5090,0.778,0.753,0.727,24968.65,117,0
Juazeiro,BA,11101,0.677,0.657,0.594,15599.23,238,0
Fernandópolis,SP,2561,0.797,0.767,0.758,28882.59,76,0
Umuarama,PR,4577,0.76,0.755,0.698,28924.83,138,0
Caçapava,SP,4198,0.79,0.754,0.755,38964.63,90,0
Itabuna,BA,10664,0.71,0.695,0.643,17514.19,218,0
Pirassununga,SP,3102,0.8,0.789,0.736,32978.62,75,0
Lençóis Paulista,SP,3161,0.764,0.743,0.717,36824.98,54,0
Belford Roxo,RJ,26573,0.684,0.662,0.598,16764.54,239,0
Araruama,RJ,5420,0.718,0.714,0.617,19748.08,115,0
Boa Vista,RR,20851,0.752,0.737,0.708,24852.52,206,0
Poá,SP,5998,0.77,0.71,0.754,37885.61,113,0
Itaguaí,RJ,5801,0.715,0.703,0.638,65107.78,110,0
Patrocínio,MG,4003,0.73,0.723,0.628,28447.8,89,0
Rio Branco,AC,21370,0.727,0.729,0.661,21543.65,308,0
Cariacica,ES,19236,0.718,0.699,0.628,19215.53,251,0
Embu Das Artes,SP,13879,0.735,0.7,0.676,37832.19,184,0
Erechim,RS,4139,0.78,0.782,0.716,43052.17,124,0
São João Del Rei,MG,3419,0.758,0.733,0.69,20401.06,105,0
Araguari,MG,5015,0.773,0.74,0.716,33574.01,67,0
Camaquã,RS,2219,0.7,0.715,0.578,27736.29,59,0
São Gabriel,RS,2528,0.7,0.711,0.585,24697.46,38,0
Araucária,PR,6568,0.74,0.743,0.639,125342.73,143,0
Araxá,MG,4292,0.772,0.756,0.709,46098.25,73,0
Rio Do Sul,SC,2882,0.802,0.793,0.727,33250.84,72,0
Aparecida De Goiânia,GO,29804,0.718,0.716,0.62,22514.94,323,0
São Sebastião,SP,4117,0.772,0.747,0.703,41724.54,45,0
Cachoeirinha,RS,5718,0.757,0.749,0.675,41565.54,86,0
Itabira,MG,5307,0.76,0.729,0.678,30167.41,113,0
Vacaria,RS,3222,0.721,0.74,0.605,32918.16,29,0
Itapeva,SP,4408,0.732,0.702,0.697,25871.65,103,0
Rio Das Ostras,RJ,5815,0.773,0.784,0.689,35788.18,168,0
Três Corações,MG,3559,0.74,0.73,0.66,28221.35,61,0
Bagé,RS,5380,0.74,0.739,0.647,21930.77,117,0
Cajamar,SP,3558,0.728,0.713,0.668,178670.47,61,0
Olímpia,SP,2367,0.773,0.737,0.724,35365.77,37,0
Capivari,SP,2372,0.75,0.744,0.669,29907.83,34,0
Campo Largo,PR,4403,0.745,0.73,0.664,30318.28,115,0
Três Lagoas,MS,5734,0.74,0.752,0.645,79911.85,76,0
Cachoeiro De Itapemirim,ES,8222,0.746,0.733,0.677,22904.87,188,0
Pinhais,PR,6613,0.75,0.761,0.666,41998.58,120,0
Ferraz De Vasconcelos,SP,9833,0.738,0.691,0.703,15304.53,112,0
Francisco Beltrão,PR,3692,0.774,0.758,0.726,32465.67,104,0
Itanhaém,SP,4749,0.745,0.716,0.701,16454.23,75,0
Monte Alto,SP,1917,0.768,0.746,0.707,35154.66,50,0
